first_name,last_name,age,email,country,postal_code,favorite_color,gender,birthdate,height,interests,intent,Latitude,Longitude
Emerson,Marchington,49,emarchingtonu@illinois.edu,Australia,1120,green,Male,1/18/1995,175.05,traveling,fun,-37.713929,144.962411
Davon,Samsworth,85,dsamsworthv@foxnews.com,Australia,7803,green,Male,3/20/1994,195.12,reading,fun,-42.8821377,147.3271949
Bradley,Wyllcocks,78,bwyllcocksw@shutterfly.com,Australia,1213,green,Male,2/16/2002,188.37,reading,fun,-33.8651294,151.2078882
Gualterio,Littlecote,65,glittlecotex@discuz.net,Australia,6843,green,Male,2/21/1997,169.1,reading,marriage,-31.9478653,115.8693718
Clyve,Hearsum,23,chearsumy@blogger.com,Australia,1315,blue,Male,7/25/1998,188.71,reading,marriage,-38.043127,145.297768
Peirce,Furlow,81,pfurlowz@earthlink.net,Australia,7916,blue,Male,4/29/1998,150.94,reading,fun,-41.4332215,147.1440875
Elvis,Birkhead,79,ebirkhead10@mayoclinic.com,Australia,1033,green,Male,4/13/1987,167.16,hiking,fun,-33.8688197,151.2092955
Gabie,Baike,23,gbaike11@dailymail.co.uk,Australia,8383,red,Female,3/10/1986,163.02,reading,marriage,-37.8136276,144.9630576
Tana,Rossey,75,trossey12@aol.com,Australia,1028,blue,Genderqueer,3/11/1995,153.73,cooking,marriage,-34.0349557,151.0998291
Farlay,Laskey,27,flaskey13@hp.com,Australia,5889,green,Genderfluid,2/11/1993,163.04,cooking,marriage,-34.990888,138.574391
Conant,Matchitt,22,cmatchitt14@delicious.com,Australia,8045,blue,Male,5/5/1993,147.39,cooking,fun,-37.8136276,144.9630576
Pernell,Barents,59,pbarents15@ed.gov,Australia,1191,green,Male,6/27/1985,153.18,traveling,fun,-33.7974423,151.2502275
Hagan,Danilov,54,hdanilov16@npr.org,Australia,1694,green,Male,10/12/1986,154.37,reading,fun,-34.8352742,138.596204
Arline,Auchterlony,72,aauchterlony17@sbwire.com,Australia,1009,blue,Female,7/12/1998,162.76,traveling,marriage,-37.7236851,144.9633285
Abeu,Dellit,20,adellit18@ucoz.ru,Australia,1140,blue,Male,9/1/1999,176.57,hiking,fun,-27.9424308,153.3970962
Andrei,Bartomieu,46,abartomieu19@taobao.com,Australia,1009,blue,Female,9/1/1998,188.0,hiking,fun,-37.7236851,144.9633285
Gerta,Paquet,65,gpaquet1a@flavors.me,Australia,1140,red,Female,11/20/1986,172.82,reading,fun,-27.9424308,153.3970962
Alysia,Autie,48,aautie1b@nymag.com,Australia,7904,blue,Female,7/18/2005,158.98,hiking,marriage,-41.4332215,147.1440875
Bryana,Wolters,41,bwolters1c@desdev.cn,Australia,5899,green,Female,9/14/2003,184.58,reading,marriage,-34.990888,138.574391
Chastity,Hallibone,58,challibone1d@globo.com,Australia,5869,red,Female,7/25/2002,172.73,reading,fun,-34.990888,138.574391
Giraldo,Buey,28,gbuey1e@nbcnews.com,Australia,7803,blue,Male,8/11/1991,154.81,reading,marriage,-42.8821377,147.3271949
Parker,Iiannone,49,piiannone1f@mlb.com,Australia,7916,blue,Male,12/4/1993,170.12,reading,marriage,-41.4332215,147.1440875
Felix,Puxley,22,fpuxley1g@shutterfly.com,Australia,7803,blue,Male,5/14/1999,192.96,reading,marriage,-42.8821377,147.3271949
Abram,Biggadyke,43,abiggadyke1h@seattletimes.com,Australia,1140,blue,Male,5/2/2002,187.43,reading,marriage,-27.9424308,153.3970962
Roosevelt,Ratt,82,rratt1i@vkontakte.ru,Australia,1694,red,Male,1/8/1997,162.22,traveling,fun,-34.8352742,138.596204
Lindon,Etty,60,letty1j@networksolutions.com,Australia,1191,green,Male,11/14/1995,145.52,traveling,marriage,-33.7974423,151.2502275
Katharine,Nimmo,59,knimmo1k@abc.net.au,Australia,1028,green,Female,9/13/1989,175.12,traveling,marriage,-34.0349557,151.0998291
Torrence,Janoschek,63,tjanoschek1l@ocn.ne.jp,Australia,1109,green,Genderqueer,6/8/2003,171.65,cooking,marriage,-37.7204693,144.9629556
Patrizia,Ruusa,36,pruusa1m@china.com.cn,Australia,1235,green,Female,11/30/1992,149.06,reading,marriage,-33.8688197,151.2092955
Chan,MacMenemy,75,cmacmenemy1n@cbslocal.com,Australia,1028,blue,Male,12/30/1996,196.66,reading,marriage,-34.0349557,151.0998291
Karlene,Barnardo,35,kbarnardo1o@canalblog.com,Australia,1206,green,Female,5/10/1999,159.72,reading,marriage,-37.7071402,144.9611223
Emlyn,Kleisle,53,ekleisle1p@soup.io,Australia,1694,green,Male,2/20/1988,190.82,reading,fun,-34.8352742,138.596204
Ardra,Scates,69,ascates1q@youtu.be,Australia,6817,red,Genderfluid,7/21/1996,180.67,reading,fun,-31.9505269,115.8604572
Raven,Plose,74,rplose1r@umich.edu,Australia,1028,red,Bigender,7/13/1997,167.78,reading,fun,-34.0349557,151.0998291
Desi,Sussans,33,dsussans1s@t.co,Australia,1120,red,Male,4/17/1989,183.52,hiking,marriage,-37.713929,144.962411
Gerrilee,Bennison,57,gbennison1t@tmall.com,Australia,1391,blue,Genderfluid,6/10/1996,167.36,reading,marriage,-33.93274,151.188577
Werner,Shemwell,24,wshemwell1u@oaic.gov.au,Australia,1130,red,Male,12/21/1992,187.13,traveling,marriage,-33.8989712,151.2149792
Chicky,Carr,54,ccarr1v@nymag.com,Australia,1315,blue,Bigender,12/20/1985,160.43,reading,fun,-38.043127,145.297768
Maxy,Clewett,35,mclewett1w@delicious.com,Australia,6817,green,Male,9/14/2000,174.8,reading,marriage,-31.9505269,115.8604572
Barn,Ughelli,20,bughelli1x@arstechnica.com,Australia,6817,red,Genderqueer,3/20/1998,180.3,reading,marriage,-31.9505269,115.8604572
Nichole,Durbin,34,ndurbin1y@cnn.com,Australia,1235,blue,Male,9/28/2002,193.32,hiking,fun,-33.8688197,151.2092955
Starr,Mawhinney,72,smawhinney1z@eepurl.com,Australia,8045,green,Female,11/9/1995,152.18,reading,marriage,-37.8136276,144.9630576
Arel,Brumble,48,abrumble20@economist.com,Australia,7916,blue,Male,3/2/1998,171.12,reading,fun,-41.4332215,147.1440875
Radcliffe,Dekeyser,58,rdekeyser21@icq.com,Australia,1196,red,Male,2/17/2004,153.15,traveling,marriage,-33.7974423,151.2502275
Daryl,Culwen,63,dculwen22@smugmug.com,Australia,1043,blue,Female,3/13/1985,187.27,reading,fun,-33.8688197,151.2092955
Daron,Mafham,55,dmafham23@ezinearticles.com,Australia,1315,green,Male,2/25/2003,168.33,reading,marriage,-38.043127,145.297768
Erik,Babb,47,ebabb24@state.tx.us,Australia,5899,blue,Male,10/13/2004,140.24,reading,fun,-34.990888,138.574391
Lisette,Storch,39,lstorch25@mashable.com,Australia,1315,green,Female,6/10/1998,177.11,reading,fun,-38.043127,145.297768
Petr,Possel,38,ppossel26@jalbum.net,Australia,1196,blue,Male,5/19/2001,192.44,reading,marriage,-33.7974423,151.2502275
Tuesday,Gregon,70,tgregon27@deviantart.com,Australia,8383,green,Bigender,7/16/2000,195.69,reading,fun,-37.8136276,144.9630576
Chelsae,Livezley,84,clivezley28@tinyurl.com,Australia,1140,red,Female,12/21/1999,157.6,hiking,fun,-27.9424308,153.3970962
Erek,Spicer,69,espicer29@posterous.com,Australia,1120,blue,Male,11/29/1995,151.83,reading,fun,-37.713929,144.962411
Honey,Kennion,78,hkennion2a@wikimedia.org,Australia,7803,red,Female,5/25/2004,171.94,traveling,fun,-42.8821377,147.3271949
Ted,Everall,80,teverall2b@cloudflare.com,Australia,1028,red,Male,11/6/1998,172.72,reading,marriage,-34.0349557,151.0998291
Brigham,Buist,83,bbuist2c@technorati.com,Australia,1325,red,Male,9/21/1996,192.66,hiking,marriage,-33.93274,151.188577
Reider,Dennidge,61,rdennidge2d@illinois.edu,Australia,9010,blue,Male,2/2/2002,141.5,hiking,fun,-27.4697707,153.0251235
Allie,Dake,19,adake2e@businessinsider.com,Australia,1424,blue,Male,11/1/1999,180.22,hiking,marriage,-33.8882671,151.2078465
Neron,Bradnum,29,nbradnum2f@slashdot.org,Australia,1191,green,Male,11/5/1987,184.53,reading,fun,-33.7974423,151.2502275
Natalya,Trassler,48,ntrassler2g@fastcompany.com,Australia,1171,green,Female,11/10/2003,144.3,reading,marriage,-33.863927,151.201887
Janos,Robel,85,jrobel2h@ovh.net,Australia,1694,green,Male,9/20/2001,149.52,traveling,fun,-34.8352742,138.596204
Gena,MacGraith,54,gmacgraith2i@unc.edu,Australia,5899,red,Female,2/12/1996,193.9,traveling,marriage,-34.990888,138.574391
Earvin,Corington,32,ecorington2j@topsy.com,Australia,7916,green,Male,11/18/2004,142.16,traveling,marriage,-41.4332215,147.1440875
D'arcy,Blampy,39,dblampy2k@admin.ch,Australia,1325,red,Male,5/16/2004,140.06,cooking,marriage,-33.93274,151.188577
Helge,Grund,56,hgrund2l@businessweek.com,Australia,6817,blue,Female,8/2/1987,167.63,reading,marriage,-31.9505269,115.8604572
Shelton,Ruse,29,sruse2m@europa.eu,Australia,1028,green,Male,6/23/1993,166.87,reading,fun,-34.0349557,151.0998291
Herold,Alston,54,halston2n@123-reg.co.uk,Australia,1191,green,Male,2/20/1996,140.33,reading,fun,-33.7974423,151.2502275
Obediah,Boadby,76,oboadby2o@hibu.com,Australia,1130,green,Male,7/7/1993,153.04,traveling,marriage,-33.8989712,151.2149792
Lesya,Coil,65,lcoil2p@mlb.com,Australia,1161,red,Female,4/23/1994,167.49,reading,fun,-33.7974423,151.2502275
Tabbie,Swede,62,tswede2q@wunderground.com,Australia,8383,red,Male,6/14/1991,197.52,traveling,fun,-37.8136276,144.9630576
Cristian,Fowler,23,cfowler2r@sun.com,Australia,1181,red,Male,3/6/2001,178.0,reading,marriage,-33.7974423,151.2502275
Filberto,Jardein,25,fjardein2s@blog.com,Australia,5869,green,Male,11/9/1997,172.54,reading,marriage,-34.990888,138.574391
Nona,Preble,83,npreble2t@com.com,Australia,1235,green,Female,5/6/1985,171.87,hiking,marriage,-33.8688197,151.2092955
Craggy,Greenrde,55,cgreenrde2u@cloudflare.com,Australia,1171,green,Bigender,2/20/1994,197.33,traveling,marriage,-33.863927,151.201887
Chelsie,Winning,21,cwinning2v@purevolume.com,Australia,1130,red,Female,8/22/1995,155.94,hiking,marriage,-33.8989712,151.2149792
Heall,Gunning,47,hgunning2w@dropbox.com,Australia,1134,red,Male,1/10/1999,150.75,traveling,fun,-33.7974423,151.2502275
Dani,Leal,44,dleal2x@cyberchimps.com,Australia,1235,green,Male,10/14/1995,171.76,traveling,fun,-33.8688197,151.2092955
Murvyn,Standon,43,mstandon2y@quantcast.com,Australia,5889,red,Male,9/21/2004,194.71,reading,marriage,-34.990888,138.574391
Norri,Bowerman,41,nbowerman2z@wired.com,Australia,1120,blue,Female,10/29/1990,176.0,reading,fun,-37.713929,144.962411
Stanly,Gidden,34,sgidden30@altervista.org,Australia,1171,green,Male,6/22/1991,143.92,hiking,fun,-33.863927,151.201887
Si,Ramiro,52,sramiro31@wisc.edu,Australia,1161,red,Male,9/3/1988,157.58,traveling,fun,-33.7974423,151.2502275
Kelby,Gwinnett,57,kgwinnett32@phpbb.com,Australia,1120,green,Male,11/29/1998,167.55,cooking,marriage,-37.713929,144.962411
Annabella,Leavesley,28,aleavesley33@shinystat.com,Australia,5839,red,Genderqueer,4/3/2005,140.6,cooking,marriage,-34.9284989,138.6007456
Jolene,Beggi,70,jbeggi34@ed.gov,Australia,1028,green,Female,8/26/1990,179.07,reading,marriage,-34.0349557,151.0998291
Gerda,Mowett,61,gmowett35@devhub.com,Australia,5839,blue,Female,7/22/2000,144.66,reading,fun,-34.9284989,138.6007456
Myranda,Kretschmer,23,mkretschmer36@devhub.com,Australia,6843,blue,Female,12/8/1996,147.6,traveling,fun,-31.9478653,115.8693718
Jordan,Stiegars,52,jstiegars37@fda.gov,Australia,8383,blue,Male,2/9/1999,151.57,reading,fun,-37.8136276,144.9630576
Munmro,Chaperling,66,mchaperling38@guardian.co.uk,Australia,5839,blue,Male,8/15/1988,198.03,hiking,fun,-34.9284989,138.6007456
Florry,Bagwell,48,fbagwell39@army.mil,Australia,1391,red,Female,9/17/2005,190.44,reading,marriage,-33.93274,151.188577
Leeanne,Scudders,36,lscudders3a@bloomberg.com,Australia,5889,blue,Female,9/17/1985,159.5,reading,fun,-34.990888,138.574391
Nikita,Giblin,62,ngiblin3b@tamu.edu,Australia,7808,blue,Male,9/29/1991,174.0,reading,marriage,-42.8821377,147.3271949
Petronilla,Djurdjevic,21,pdjurdjevic3c@wordpress.org,Australia,1109,blue,Female,8/19/1997,188.45,reading,fun,-37.7204693,144.9629556
Kimberley,Reddy,18,kreddy3d@trellian.com,Australia,5869,red,Female,7/14/1988,141.86,reading,marriage,-34.990888,138.574391
Johnnie,Pereira,61,jpereira3e@va.gov,Australia,1213,green,Agender,9/8/1986,168.65,hiking,marriage,-33.8651294,151.2078882
Elbertina,Fehely,51,efehely3f@mit.edu,Australia,1009,red,Female,11/10/1995,154.92,traveling,marriage,-37.7236851,144.9633285
Germaine,Broske,85,gbroske3g@un.org,Australia,7916,red,Female,2/15/1988,184.7,reading,fun,-41.4332215,147.1440875
Billi,Hendrickson,73,bhendrickson3h@cargocollective.com,Australia,5899,green,Female,1/21/1996,165.12,cooking,fun,-34.990888,138.574391
Mordecai,Haquard,51,mhaquard3i@barnesandnoble.com,Australia,1315,green,Male,12/15/1986,145.57,cooking,marriage,-38.043127,145.297768
Marietta,Thon,67,mthon3j@kickstarter.com,Australia,1134,blue,Female,10/29/1994,188.63,reading,marriage,-33.7974423,151.2502275
Tanney,Cabbell,77,tcabbell3k@apache.org,Australia,1325,blue,Male,3/5/1985,141.17,cooking,marriage,-33.93274,151.188577
Ameline,Chasteney,29,achasteney3l@irs.gov,Australia,1315,blue,Female,6/23/1986,174.01,traveling,marriage,-38.043127,145.297768
Misty,Cords,75,mcords3m@microsoft.com,Australia,1196,red,Female,10/4/1987,173.35,reading,marriage,-33.7974423,151.2502275
Erwin,Paal,41,epaal3n@nytimes.com,Australia,7803,blue,Male,10/10/2002,186.74,traveling,marriage,-42.8821377,147.3271949
Hasty,Bote,52,hbote3o@theatlantic.com,Australia,1181,red,Male,10/22/1985,198.8,traveling,marriage,-33.7974423,151.2502275
Lulu,Winchurst,52,lwinchurst3p@flickr.com,Australia,6843,red,Female,2/15/1997,147.65,reading,fun,-31.9478653,115.8693718
Brennan,Salazar,84,bsalazar3q@altervista.org,Australia,6817,red,Male,1/17/1986,150.2,reading,fun,-31.9505269,115.8604572
Danny,Crowley,77,dcrowley3r@seesaa.net,Australia,1196,blue,Agender,3/9/1987,171.24,cooking,marriage,-33.7974423,151.2502275
Lib,Mennell,59,lmennell3s@vkontakte.ru,Australia,8383,green,Female,7/17/2002,147.25,hiking,marriage,-37.8136276,144.9630576
Marne,Klaves,67,mklaves3t@hhs.gov,Australia,1235,blue,Female,8/13/1998,180.08,cooking,marriage,-33.8688197,151.2092955
Nathan,Gladtbach,70,ngladtbach3u@vimeo.com,Australia,1033,red,Male,6/16/2000,143.71,hiking,fun,-33.8688197,151.2092955
Joelynn,Rickertsen,46,jrickertsen3v@mapy.cz,Australia,1391,red,Female,5/19/1997,192.24,hiking,fun,-33.93274,151.188577
Gradeigh,Bridgewater,40,gbridgewater3w@youtube.com,Australia,1033,blue,Male,8/3/1994,163.19,traveling,marriage,-33.8688197,151.2092955
Cinnamon,Lucchi,18,clucchi3x@a8.net,Australia,1325,red,Female,5/2/2003,182.3,reading,fun,-33.93274,151.188577
Wilhelmine,Skirrow,66,wskirrow3y@pagesperso-orange.fr,Australia,1235,red,Female,4/8/2003,164.97,reading,marriage,-33.8688197,151.2092955
Gabbey,Dowdney,75,gdowdney3z@vkontakte.ru,Australia,1033,red,Female,3/8/1990,170.85,hiking,marriage,-33.8688197,151.2092955
Shep,Studders,67,sstudders40@tmall.com,Australia,1196,red,Male,5/18/1989,147.19,hiking,fun,-33.7974423,151.2502275
Imelda,Cuxson,30,icuxson41@360.cn,Australia,1171,blue,Female,8/10/2001,164.75,cooking,marriage,-33.863927,151.201887
Tiebout,Staff,39,tstaff42@tiny.cc,Australia,1391,red,Male,7/2/1993,175.41,hiking,fun,-33.93274,151.188577
Edith,Player,52,eplayer43@blogs.com,Australia,5839,red,Female,3/7/2004,193.41,cooking,marriage,-34.9284989,138.6007456
Gayel,Dunbleton,64,gdunbleton44@edublogs.org,Australia,1134,green,Female,5/5/1988,174.95,cooking,fun,-33.7974423,151.2502275
Erich,Moen,82,emoen45@yolasite.com,Australia,1206,blue,Male,8/29/1989,184.89,traveling,fun,-37.7071402,144.9611223
Alejandra,Heppner,79,aheppner46@reverbnation.com,Australia,7808,red,Female,3/13/1994,174.49,reading,fun,-42.8821377,147.3271949
Marie-jeanne,Westman,81,mwestman47@e-recht24.de,Australia,1694,red,Female,7/5/1993,159.94,hiking,marriage,-34.8352742,138.596204
Aile,Grayley,68,agrayley48@slashdot.org,Australia,5874,red,Female,12/19/1987,189.96,hiking,marriage,-34.990888,138.574391
Winonah,Leeke,79,wleeke49@soup.io,Australia,7916,red,Female,11/6/2005,161.97,cooking,fun,-41.4332215,147.1440875
Janetta,Gras,48,jgras4a@51.la,Australia,1315,green,Female,8/30/2002,166.53,reading,marriage,-38.043127,145.297768
Asa,Henaughan,69,ahenaughan4b@timesonline.co.uk,Australia,6843,blue,Male,1/7/1991,151.41,reading,marriage,-31.9478653,115.8693718
Neille,Mawford,43,nmawford4c@rakuten.co.jp,Australia,6817,red,Female,10/23/1989,183.6,reading,fun,-31.9505269,115.8604572
Brena,MacScherie,29,bmacscherie4d@tuttocitta.it,Australia,9010,green,Female,12/15/2004,169.05,reading,marriage,-27.4697707,153.0251235
Keelby,Rothery,57,krothery4e@msn.com,Australia,1191,red,Male,10/26/1988,145.77,hiking,marriage,-33.7974423,151.2502275
Carling,Lambdon,29,clambdon4f@google.cn,Australia,1424,blue,Non-binary,7/16/1997,157.74,traveling,marriage,-33.8882671,151.2078465
Peta,Ahrens,72,pahrens4g@vimeo.com,Australia,8383,blue,Female,12/17/1986,160.19,traveling,fun,-37.8136276,144.9630576
Milzie,McAuslene,32,mmcauslene4h@eventbrite.com,Australia,1213,red,Female,11/4/2003,176.28,hiking,fun,-33.8651294,151.2078882
Gussy,Capineer,53,gcapineer4i@w3.org,Australia,1028,green,Female,4/24/1998,190.67,reading,marriage,-34.0349557,151.0998291
Kristoforo,Coate,68,kcoate4j@businessinsider.com,Australia,7808,green,Male,11/6/2002,183.09,cooking,fun,-42.8821377,147.3271949
Nerti,McGall,66,nmcgall4k@w3.org,Australia,5869,red,Agender,9/7/1999,190.88,cooking,fun,-34.990888,138.574391
Mikkel,Selwin,84,mselwin4l@sbwire.com,Australia,1120,green,Male,1/31/2003,169.85,cooking,fun,-37.713929,144.962411
Torrance,Rubenfeld,39,trubenfeld4m@virginia.edu,Australia,1028,blue,Male,12/29/1986,154.44,reading,marriage,-34.0349557,151.0998291
Dore,Durbin,23,ddurbin4n@wikipedia.org,Australia,1140,blue,Female,6/26/1992,158.81,reading,marriage,-27.9424308,153.3970962
Agathe,Smee,73,asmee4o@umn.edu,Australia,8383,green,Female,7/24/1994,169.06,reading,marriage,-37.8136276,144.9630576
Pam,Josifovic,57,pjosifovic4p@usgs.gov,Australia,1315,blue,Female,2/13/1987,187.41,traveling,fun,-38.043127,145.297768
Marina,Shenfisch,47,mshenfisch4q@ehow.com,Australia,1213,red,Genderqueer,3/21/1995,171.01,cooking,marriage,-33.8651294,151.2078882
Remy,Mayhou,38,rmayhou4r@t-online.de,Australia,5874,blue,Female,12/7/2002,187.8,reading,fun,-34.990888,138.574391
Maggie,Butterly,54,mbutterly4s@npr.org,Australia,6843,red,Female,7/25/1985,144.6,hiking,marriage,-31.9478653,115.8693718
Harrison,Liveing,47,hliveing4t@jugem.jp,Australia,1213,red,Male,5/26/2001,140.17,traveling,fun,-33.8651294,151.2078882
Brad,Dawber,60,bdawber4u@imgur.com,Australia,1181,red,Male,5/23/2001,155.71,cooking,marriage,-33.7974423,151.2502275
Yard,Dreakin,70,ydreakin4v@github.com,Australia,1120,red,Male,1/14/1988,173.97,reading,marriage,-37.713929,144.962411
Ninetta,Filipiak,55,nfilipiak4w@berkeley.edu,Australia,7904,blue,Female,4/12/1993,153.75,reading,fun,-41.4332215,147.1440875
Ramsey,Colbrun,83,rcolbrun4x@theglobeandmail.com,Australia,5874,green,Male,3/14/1996,147.3,reading,marriage,-34.990888,138.574391
Derrik,Davisson,72,ddavisson4y@cornell.edu,Australia,5874,blue,Male,9/2/1993,185.62,reading,fun,-34.990888,138.574391
Lindsy,Boydle,72,lboydle4z@networkadvertising.org,Australia,1134,blue,Female,10/14/1990,152.36,reading,marriage,-33.7974423,151.2502275
Baxie,Pearman,61,bpearman50@cornell.edu,Australia,1033,green,Male,3/18/1987,150.49,cooking,fun,-33.8688197,151.2092955
Sabine,Harroway,69,sharroway51@npr.org,Australia,1391,blue,Female,8/25/1991,198.74,cooking,fun,-33.93274,151.188577
Sunny,Guitt,47,sguitt52@paginegialle.it,Australia,5899,red,Female,1/6/1993,198.36,reading,fun,-34.990888,138.574391
Joanne,Rylance,76,jrylance53@foxnews.com,Australia,1043,blue,Female,2/13/1997,154.6,reading,fun,-33.8688197,151.2092955
Sashenka,Winspare,50,swinspare54@themeforest.net,Australia,7803,red,Female,6/30/1992,199.37,hiking,marriage,-42.8821377,147.3271949
Orton,Chadburn,55,ochadburn55@amazon.de,Australia,1694,red,Male,3/25/1999,153.25,reading,fun,-34.8352742,138.596204
Benedict,Borrill,41,bborrill56@stumbleupon.com,Australia,1315,red,Bigender,3/2/1994,171.0,hiking,fun,-38.043127,145.297768
Kenton,Laise,77,klaise57@issuu.com,Australia,1171,blue,Male,8/16/1996,181.24,cooking,fun,-33.863927,151.201887
Sonnie,Ewles,60,sewles58@buzzfeed.com,Australia,1235,red,Female,11/22/1994,168.03,reading,marriage,-33.8688197,151.2092955
Lil,Drillingcourt,64,ldrillingcourt59@purevolume.com,Australia,1235,red,Female,10/8/2001,148.54,reading,marriage,-33.8688197,151.2092955
Freddi,Kirkebye,53,fkirkebye5a@vkontakte.ru,Australia,5839,green,Female,5/11/1993,174.23,reading,fun,-34.9284989,138.6007456
Jedd,Burkin,47,jburkin5b@stanford.edu,Australia,9010,green,Male,12/3/1985,171.23,reading,marriage,-27.4697707,153.0251235
Charmain,Lishman,69,clishman5c@mayoclinic.com,Australia,1206,green,Female,12/29/1993,167.85,traveling,fun,-37.7071402,144.9611223
Zarla,Large,34,zlarge5d@shinystat.com,Australia,1206,green,Female,7/4/2001,169.86,reading,fun,-37.7071402,144.9611223
Udale,Lamkin,82,ulamkin5e@google.com.br,Australia,1043,red,Male,3/28/1991,187.24,cooking,marriage,-33.8688197,151.2092955
Honor,Milmore,31,hmilmore5f@1688.com,Australia,5899,red,Female,3/21/1992,158.04,traveling,marriage,-34.990888,138.574391
Umeko,Cleminshaw,50,ucleminshaw5g@nyu.edu,Australia,1171,red,Female,4/25/2001,185.87,reading,fun,-33.863927,151.201887
Sibby,Bastable,58,sbastable5h@wunderground.com,Australia,5889,green,Agender,3/24/1990,189.31,reading,marriage,-34.990888,138.574391
Odo,Liddy,31,oliddy5i@hugedomains.com,Australia,1009,green,Male,11/30/1986,152.37,cooking,fun,-37.7236851,144.9633285
Meagan,Verryan,76,mverryan5j@eepurl.com,Australia,8383,green,Female,1/1/1987,184.49,hiking,marriage,-37.8136276,144.9630576
Stavro,Umbers,22,sumbers5k@economist.com,Australia,1315,blue,Male,10/2/1989,198.61,cooking,fun,-38.043127,145.297768
